kappa_gal,rho_dust_z8,p_dust_z8,rho_age_z4,p_age_z4,ks_stat,p_ks
681632.6530612245,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
720408.1632653062,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
759183.6734693878,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
797959.1836734695,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
836734.693877551,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
875510.2040816327,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
914285.7142857143,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
953061.224489796,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
991836.7346938776,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1030612.2448979593,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1069387.7551020407,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1108163.2653061226,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1146938.775510204,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1185714.2857142857,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1224489.7959183673,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1263265.306122449,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1302040.8163265307,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1340816.3265306123,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1379591.836734694,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
1418367.3469387756,0.5808363450381259,6.2906045312483296e-27,0.005776202298512069,0.7811881584293188,0.557210873905698,1.8593287954843343e-05
