ID,RA,DEC,F115W_CIRC1,F115W_CIRC4,F444W_CIRC1,F444W_CIRC4,log_Mstar,z_best,phys_id,color_gradient,compactness
55320,53.123349240214935,-27.86036538358368,1.4707181,3.2048051,8.767103,14.668551,7.660277646989525,10.6,55320,0.28685263,0.5976802
57250,53.10223752797457,-27.859253242044748,13.791957,22.267075,29.39129,41.652626,8.347992870564378,8.46,57250,0.14153378,0.70562875
57378,53.086496855550024,-27.85919569701428,15.300899,22.247004,68.51796,90.90437,8.327114835193772,8.47,57378,0.099435665,0.7537367
57765,53.040801350463305,-27.85901016353927,5.1567836,9.502369,15.752169,14.852846,7.816530316754874,8.74,57765,0.72745925,1.0605488
58185,53.10346757225102,-27.85881230477501,0.008035839,0.17855084,1.2733959,5.6959996,7.09796507041022,10.03,58185,1.7403104,0.22355969
58589,53.13848799828007,-27.858539174522946,12.97861,20.687479,30.116444,39.830723,7.987386980965187,8.03,58589,0.20266218,0.7561109
59881,53.044968163976876,-27.857838563688766,1.469671,1.678771,4.4621434,8.842154,7.127674802853255,8.92,59881,-0.598108,0.5046444
61019,53.0839989656933,-27.85720417524785,1.5508307,2.792298,5.6135197,5.0139036,7.114159832211541,8.69,61019,0.76114166,1.1195906
61416,53.09747501409304,-27.856983767096587,0.33547705,1.6531813,5.6941276,7.7290716,7.878172783272495,9.86,61416,1.3998938,0.7367156
62446,53.1200077048819,-27.85645182327349,13.843003,21.832804,25.332132,55.754997,8.283340827019767,8.52,62446,-0.36183214,0.4543473
62600,53.12021210159046,-27.856333613539693,20.17884,31.381546,86.71191,114.380325,8.44477251461648,8.27,62600,0.17876384,0.7581016
62850,53.060200403712585,-27.856257280471755,0.34097546,0.12868837,3.421456,4.463561,7.439044318625861,9.28,62850,-1.3466358,0.7665306
65369,53.087453930116226,-27.854646266513395,12.072429,17.017946,15.871804,20.033262,8.03433035656399,8.39,65369,0.119967766,0.79227257
66229,53.119833168476866,-27.854104765629558,3.202635,5.079043,6.4267883,11.026657,6.913764579366418,8.02,66229,-0.08543861,0.58284104
66293,53.04601276443048,-27.85399274519163,13.842062,20.115969,94.0149,102.6841,8.092981535141407,8.04,66293,0.3100842,0.9155741
67832,53.104411437466375,-27.853060763802702,4.9119368,10.096684,16.135784,18.419971,7.695408175192659,8.51,67832,0.6385678,0.87599397
68367,53.06469039162742,-27.852750770707676,0.1004049,0.037539344,2.0764408,2.0325725,7.022553356583755,9.75,68367,-1.0449867,1.0215826
71397,53.0853660004498,-27.850472843981528,0.49474645,1.28361,4.7741647,3.7491813,7.446601302920022,9.4,71397,1.2975283,1.2733886
73218,53.14823089054741,-27.848817316165846,0.5585981,1.634549,5.688725,6.7374873,7.337366919986701,10.6,73218,0.98203874,0.84433925
73568,53.13918025672333,-27.848483686935563,0.34995165,2.660822,31.81819,44.166054,8.0287590576457,10.46,73568,1.8464866,0.72042185
