z_phot,log_Mstar,dust
4.3398,8.90574,0.1
4.1048,8.284,0.1
4.9754,9.12714,0.1
5.5021,9.24096,0.0
4.2635,9.97159,0.1
5.1969,9.48922,0.1
4.2956,8.0835,0.0
4.5414,8.14905,0.2
7.0743,8.44648,0.0
4.0136,9.93367,0.1
4.7083,7.24862,-999.0
4.4833,8.20335,0.1
4.3797,8.0948,0.1
5.8968,8.28203,0.1
6.6384,8.80882,0.0
4.6179,8.08956,0.1
4.8171,8.01429,0.0
5.8224,9.14923,0.2
5.3163,9.52388,0.1
5.2478,8.32782,0.0
5.8831,8.40738,0.1
4.663,9.07882,0.2
6.3098,8.99022,0.1
6.4778,8.19634,0.0
5.1695,9.53925,0.2
5.3179,9.25301,0.3
4.5402,8.79326,0.3
4.148,9.21061,0.1
5.1702,8.90525,0.1
6.2577,8.54273,0.1
10.0648,8.06854,0.0
4.4067,8.98876,0.3
4.6379,8.70336,0.2
4.6119,8.45554,0.2
5.5317,8.70828,0.2
9.7488,8.39569,0.0
4.27,8.45256,0.1
4.557,8.9782,0.1
4.8321,10.40491,0.2
4.6794,8.75775,0.1
4.3629,8.71378,0.0
4.4004,8.11676,0.1
4.2176,8.77427,0.0
4.7903,8.50378,1.2
6.3808,9.38004,0.0
5.4948,9.91022,0.2
5.7421,10.30469,0.4
4.7097,8.9491,0.1
5.9619,9.01679,0.0
4.2449,9.84142,0.1
4.3723,9.45835,0.4
4.4547,9.63929,0.1
6.4603,9.65949,0.1
4.31,9.15913,0.1
4.721,8.59214,0.1
4.6186,8.33814,0.1
6.2993,8.91278,0.0
4.3833,8.97276,0.1
5.9106,8.18576,0.0
4.5449,8.5537,0.1
4.322,8.24712,0.1
4.3775,8.80154,0.2
4.4177,8.40352,0.1
4.4468,8.63956,0.1
5.5665,9.50694,0.1
5.6487,9.0164,0.1
4.3781,8.31905,0.1
4.3355,7.04143,0.2
4.3607,9.11693,0.0
5.9075,8.5966,0.1
6.2227,9.33834,0.0
6.2681,8.7844,0.2
5.353,8.52032,0.0
4.4318,6.75049,0.2
4.4707,8.77951,0.1
6.1143,9.14017,0.1
4.05,8.77496,0.1
4.0204,8.83947,0.1
7.1744,8.37531,0.0
4.8444,8.97714,0.2
4.6743,8.03832,0.1
7.1732,9.13481,0.2
5.8171,8.70771,0.0
5.8261,8.30045,0.0
5.7706,8.7438,0.0
4.3029,7.82226,0.0
5.5793,9.21531,0.1
4.4352,8.46898,0.2
8.0216,9.33213,0.2
4.7599,9.57491,0.4
9.2758,8.04387,0.0
4.4775,8.08025,0.1
6.3457,8.24328,0.0
7.08,8.91224,0.0
7.1955,8.6554,0.0
6.5862,8.84565,0.1
4.0994,8.90614,0.5
4.6541,8.41154,0.2
4.5157,8.34333,0.1
4.1235,8.86718,0.0
4.5355,8.84073,0.0
4.599,8.45105,0.1
6.8512,7.80067,0.0
6.9648,8.22468,0.0
4.6099,8.58635,0.0
4.5967,9.02428,0.1
4.8558,8.0079,0.0
4.6653,8.43724,0.1
7.4834,9.90136,0.0
4.4987,9.65858,0.3
7.3949,7.80948,0.0
4.4105,8.54913,0.1
6.0979,9.37195,0.1
7.3301,8.40265,0.0
7.133,9.0094,0.0
5.7571,8.77306,0.1
4.6553,8.56223,0.3
6.0371,8.22442,0.0
8.3117,9.73986,0.2
4.4191,8.59607,0.2
4.5534,8.06043,0.1
4.6395,8.04215,0.1
4.1557,8.30565,0.1
7.5781,8.96658,0.0
9.3228,8.92846,0.0
4.4294,8.0937,0.0
4.5841,9.23978,0.1
7.2164,9.05077,0.0
5.4478,9.32266,0.0
4.2818,8.67489,0.1
4.5078,8.87813,0.1
4.5689,8.36136,0.0
4.1505,8.29978,0.1
4.5489,7.87965,0.1
4.6797,9.4,0.2
4.3963,8.45901,0.0
4.0153,8.6353,0.2
4.6667,8.1413,0.1
4.323,9.45327,0.2
4.6601,8.72239,0.0
6.1543,8.45557,0.1
4.7449,9.071,0.1
6.6198,9.21585,0.3
4.3624,7.8413,0.1
5.4683,8.55215,0.1
7.4957,8.10017,0.0
4.1778,9.12559,0.2
4.3,8.50816,0.1
6.219,9.24794,0.1
5.3852,9.03452,0.1
4.5356,9.8345,0.2
4.5367,8.7248,0.0
4.447,8.66852,0.0
4.3754,9.10007,0.1
4.5178,7.70169,0.0
4.6619,8.32251,0.1
4.4389,8.23726,0.1
4.3362,8.2629,0.1
4.5772,8.25955,0.0
5.3877,8.71961,0.0
4.3646,7.83135,0.3
4.4282,8.65641,0.1
7.5435,8.63964,0.0
7.568,8.35396,0.0
4.7843,8.78898,0.1
10.0323,8.07529,0.0
4.5944,8.14035,0.0
4.8065,8.42324,0.0
4.5334,8.41397,0.0
4.7127,8.30453,0.0
4.6512,8.0508,0.1
4.6597,8.18145,0.1
4.721,9.90737,0.0
4.5684,8.86184,0.1
4.4833,9.29438,0.1
4.8676,8.35661,0.0
5.9289,10.10308,0.1
4.2614,8.61224,0.0
4.8474,8.80987,0.4
4.2343,8.25515,0.0
7.1158,9.30535,0.1
4.1776,8.32971,0.1
4.6465,9.01109,0.1
5.561,9.20223,0.1
4.209,8.82073,0.1
5.2883,9.33076,0.1
5.8196,8.91922,0.0
4.4649,10.04569,0.2
4.3786,8.45927,0.1
4.3261,8.69409,0.1
4.2733,9.37933,0.1
4.6786,8.63065,0.1
9.0083,8.93834,0.1
4.2017,8.44599,0.1
4.0576,9.10375,0.1
5.4238,9.36784,0.0
4.4722,8.84245,0.1
6.4427,10.07684,0.0
5.1319,8.72552,0.2
4.9497,8.47312,0.0
4.9256,9.04129,0.1
7.525,8.81239,0.1
4.2458,7.82097,0.0
4.5441,9.13315,0.3
5.8559,8.45553,0.0
