ID,z_phot,z_best,MUV,z_spec,log_Mstar,log_Mhalo,t_cosmic_Gyr,t_stellar_Gyr,age_excess_Gyr,age_ratio,source
178175,8.71,8.71,-19.049030411015227,,7.944889445232233,10.015889445232233,0.5686100641158038,0.17337093774984041,-0.3952391263659634,0.3049030411015227,JADES-GOODS-S
178721,10.78,10.78,-19.058491033565794,,7.866583240943753,10.144583240943753,0.4252776503048709,0.13007078802333766,-0.29520686228153326,0.30584910335657933,JADES-GOODS-S
178722,9.85,9.85,-18.021134547411716,,7.411038910020565,9.596038910020566,0.4812452415945561,0.0972661383564255,-0.3839791032381306,0.2021134547411716,JADES-GOODS-S
179483,8.02,8.02,-19.55206107452578,,8.211429010399748,10.213429010399746,0.6351856258446907,0.22562181366612227,-0.40956381217856846,0.3552061074525781,JADES-GOODS-S
179485,8.46,8.46,-20.473354812943057,,8.631443536147952,10.677443536147951,0.591333397745461,0.2645244100858629,-0.3268089876595981,0.4473354812943057,JADES-GOODS-S
179681,10.44,10.44,-17.842411734222345,,7.302545573755614,9.546545573755614,0.44442299213427006,0.0818810135666384,-0.36254197856763165,0.1842411734222345,JADES-GOODS-S
180642,8.02,8.02,-19.084207281288023,,7.989198458611812,9.991198458611812,0.6351856258446907,0.1959044132199685,-0.43928121262472225,0.3084207281288023,JADES-GOODS-S
182375,10.52,10.52,-18.358207335533038,,7.544348484378194,9.796348484378193,0.43979098880359685,0.10371183358979702,-0.33607915521379983,0.2358207335533038,JADES-GOODS-S
182979,8.02,8.02,-19.267396170754143,,8.07621318110822,10.078213181108218,0.6351856258446907,0.20754030816030164,-0.42764531768438907,0.3267396170754143,JADES-GOODS-S
183348,14.67,14.67,-18.816401397722633,,7.595990663918251,10.26299066391825,0.2768394476981288,0.07796910074417715,-0.19887034695395164,0.2816401397722632,JADES-GOODS-S
188180,9.94,9.94,-18.16978137153396,,7.478046151478632,9.672046151478632,0.47530655787243187,0.10313113150395314,-0.3721754263684787,0.21697813715339614,JADES-GOODS-S
190413,17.82,17.82,-18.22387879073165,,7.188542425597534,10.170542425597535,0.21009961495283083,0.046723607763448666,-0.16337600718938217,0.22238787907316496,JADES-GOODS-S
190996,8.14,8.14,-19.143567538108766,,8.012594580601665,10.026594580601664,0.6227022637252819,0.195750662215364,-0.42695160150991796,0.3143567538108766,JADES-GOODS-S
191095,8.02,8.02,-19.102004750818022,,7.9976522566385615,9.999652256638562,0.6351856258446907,0.1970348829021549,-0.43815074294253586,0.31020047508180215,JADES-GOODS-S
191483,9.08,9.08,-18.849959779710176,,7.835530895362333,9.943530895362333,0.537541575541336,0.15319718702148466,-0.3843443885198513,0.28499597797101756,JADES-GOODS-S
192042,8.69,8.69,-19.778853676064568,,8.292355496130671,10.36135549613067,0.5703741468141834,0.21553604414209682,-0.3548381026720866,0.37788536760645675,JADES-GOODS-S
194246,9.02,9.02,-18.4581713495755,,7.651831391048363,9.753831391048363,0.5423854473371681,0.13332763670709183,-0.4090578106300763,0.2458171349575501,JADES-GOODS-S
194809,8.05,8.05,-18.498590422083705,,7.70983045048976,9.71483045048976,0.6320260199437908,0.15791741599392403,-0.47410860394986676,0.2498590422083705,JADES-GOODS-S
194969,9.03,9.03,-18.45688941907519,,7.650822474060714,9.753822474060714,0.5415731070674459,0.1330585236409682,-0.4085145834264777,0.24568894190751886,JADES-GOODS-S
195057,17.0,17.0,-16.137767415575738,,6.230439522398476,9.130439522398476,0.22468333596235202,0.022468333596235204,-0.2022150023661168,0.1,JADES-GOODS-S
195913,8.22,8.22,-19.438074855725326,,8.149285556469529,10.17128555646953,0.6146048239433161,0.21130573914070053,-0.40329908480261556,0.34380748557253255,JADES-GOODS-S
195914,8.26,8.26,-20.19116650486332,,8.505404089810078,10.531404089810078,0.6106215140291841,0.2559216436748045,-0.35469987035437955,0.4191166504863322,JADES-GOODS-S
197150,8.85,8.85,-17.783570389675088,,7.338195935095667,9.423195935095666,0.5565113519359415,0.0992577168830997,-0.4572536350528418,0.17835703896750876,JADES-GOODS-S
197416,8.72,8.72,-19.314477879408752,,8.070576992719158,10.142576992719157,0.5677314213252568,0.1881733237427854,-0.3795580975824714,0.3314477879408752,JADES-GOODS-S
199523,8.41,8.41,-17.287255621676746,,7.120046420296454,9.161046420296454,0.5960595388099935,0.07672809921872124,-0.5193314395912723,0.12872556216767456,JADES-GOODS-S
203579,8.31,8.31,-17.75575010234597,,7.346581298614337,9.377581298614338,0.6057023971028779,0.10634620457045775,-0.49935619253242014,0.17557501023459704,JADES-GOODS-S
203945,8.16,8.16,-16.401817618499493,,6.70946336878726,8.72546336878726,0.6206613433968378,0.062066134339683776,-0.558595209057154,0.1,JADES-GOODS-S
