unique_id,ra,dec,z_spec,z_phot,z_spec_flag,field,MUV,MUV_err,log_Mstar,log_Mh,t_cosmic,gamma_t,t_eff,response_z,n_ml,ml_bias,log_Mstar_true
goods-s-deephst_8456,53.12608318307063,-27.800703979766617,1.88343,2.0584,B,GS,,,,,3.4720506608194666,,,,,,
goods-n-mediumjwst_8534,189.09684193474212,62.250515881250216,2.4186853420465875,1.60552,A,GN,,,,,2.704654574871748,,,,,,
goods-n-mediumjwst_8541,189.10626524115315,62.25054885220197,5.598705239323962,5.5955,A,GN,-18.99057485733102,0.13948782854607167,8.496229942932407,9.996229942932407,1.0152501766673356,0.6094500066862952,0.6187442269581701,2466042.730481563,0.7070606372172864,0.7070606372172864,8.646773282629681
goods-s-deepjwst_8555,53.1148538,-27.8971799,3.0794520405201387,3.02776,A,GS,-18.854159463688738,0.7288145490043476,8.441663785475495,9.941663785475495,2.0820410184235447,0.6764660165811621,1.4084299940915612,1938974.7292173149,0.7606277903391153,0.7606277903391153,8.560491596702791
goods-n-mediumjwst_8591,189.16260764833675,62.25079138831092,5.187062157978436,2.9361,A,GN,-18.2733669724783,0.34106646476076996,8.209346788991319,9.709346788991319,1.1181051531056654,0.6139956534208076,0.6865117040742852,2387885.358385726,0.7107481004986762,0.7107481004986762,8.357631081295803
goods-s-mediumhst_8654,53.1331672,-27.7910852,2.3436527065019526,2.67,A,GS,,,,,2.794576068759863,,,,,,
goods-s-mediumjwst_8656,53.0616384,-27.8970538,2.9727409777018314,2.76205,A,GS,,,,,2.165625469335726,,,,,,
goods-s-mediumhst_8697,53.1634849,-27.8139176,2.986630511273927,2.99264,A,GS,,,,,2.1544352407647267,,,,,,
goods-n-mediumjwst_8727,189.24835752011384,62.25124985426503,2.7600510344162448,3.24169,A,GN,,,,,2.3497221283190046,,,,,,
goods-s-mediumhst_8767,53.1741566,-27.8003931,3.0633194175948297,3.07195,A,GS,-17.90475437812277,1.390844591333325,8.061901751249108,9.561901751249108,2.094332525259908,0.6718385716789289,1.407053372391341,1935136.9913407667,0.75698182761704,0.75698182761704,8.182816297456265
goods-s-deephst_8784,53.12234290573949,-27.79959507005463,2.342379170240725,2.328,A,GS,,,,,2.7961445139152676,,,,,,
goods-n-mediumjwst_8803,189.14752482472738,62.25144957934716,3.2058356153843364,3.14564,A,GN,-17.191859999850223,0.9203615430574743,7.776743999940089,9.276743999940088,1.9897335779925418,0.6648902768396642,1.3229545095086366,1968780.8672216935,0.7514930827506768,0.7514930827506768,7.900819012538169
goods-n-mediumjwst_8823,189.14551894573611,62.25155223990549,2.7292052638702344,2.68124,A,GN,,,,,2.3785622783684954,,,,,,
goods-s-mediumjwst_8825,53.0555781,-27.8967337,2.857818894865936,2.71207,A,GS,,,,,2.2620153345099183,,,,,,
goods-s-mediumhst_8826,53.1707392,-27.7971188,1.9945126926774814,2.33,A,GS,,,,,3.2856148882267364,,,,,,
goods-s-deephst_8880,53.12724398661662,-27.799316537420193,2.3424129133700404,2.6166,A,GS,,,,,2.7961029383674134,,,,,,
goods-s-deepjwst_8889,53.1066825,-27.8966721,3.4842763976448134,3.45856,A,GS,-18.283599247360637,0.07870978009190743,8.213439698944255,9.713439698944255,1.8086691914492958,0.6602236387357953,1.194126154847983,2032906.5714069256,0.7477970522437581,0.7477970522437581,8.339655950076834
goods-s-deephst_8891,53.11338777335987,-27.799236113482518,1.9972944776781927,2.1704,A,GS,,,,,3.2811567962760075,,,,,,
goods-n-mediumjwst_8893,189.24816897130395,62.25174861789477,3.781296606887497,4.54068,A,GN,-18.17923324635735,0.3847869333595231,8.17169329854294,9.67169329854294,1.643754899756321,0.6508174268082697,1.069784334162894,2099152.9131789133,0.7403233057497876,0.7403233057497876,8.302271877136947
goods-s-deepjwst_8959,53.120599,-27.896598,4.623747,4.11125,B,GS,-16.4292499883422,0.5433882523804421,7.471699995336879,8.971699995336879,1.2898495239697527,0.6220824215312126,0.8023927152819856,2276586.3118274254,0.7172879757747893,0.7172879757747893,7.6160064447167315
goods-s-mediumhst_9034,53.1318442,-27.7820727,1.7269216183071117,1.927,A,GS,,,,,3.765576649539516,,,,,,
goods-s-mediumjwst_9045,53.1011734,-27.8963957,2.190439163583209,2.29502,A,GS,,,,,2.9941801171583204,,,,,,
goods-s-mediumhst_9088,53.1537779,-27.7742121,3.466892299717454,3.47407,A,GS,-17.66743211175482,,7.966972844701927,9.466972844701928,1.8191639375907278,0.6581030342569913,1.197197307139354,2028962.2824043836,0.7461149210118885,0.7461149210118885,8.094167119484704
goods-n-mediumjwst_9104,189.2452691628854,62.252529273341494,6.8155702002876275,6.8179,A,GN,-19.384214669237096,0.057529932335102174,8.653685867694838,10.153685867694838,0.787672219528185,0.5875474394099279,0.4627947956781197,2683808.766768802,0.6891758594863228,0.6891758594863228,8.815355811158396
goods-s-mediumhst_9141,53.1483778,-27.7713067,3.0013761206566465,2.91,A,GS,,,,,2.1426593632683475,,,,,,
goods-s-mediumhst_9169,53.1407623,-27.7729914,1.945375453307941,2.096,A,GS,,,,,3.3660208732902483,,,,,,
goods-s-mediumjwst_9278,53.0866597,-27.8960618,3.435309783557673,2.71204,A,GS,-18.28528592860952,0.3204851747697255,8.214114371443808,9.714114371443808,1.8384899478063501,0.6617347649584897,1.216592713490181,2021776.8166953423,0.7489947368857294,0.7489947368857294,8.339635605479343
goods-s-mediumhst_9295,53.1362259,-27.8077238,3.575784,3.82,B,GS,-16.93356769179944,,7.673427076719775,9.173427076719776,1.7550411413424298,0.6526759785211035,1.1454731942704646,2053543.8963898486,0.7418025813508734,0.7418025813508734,7.803138736451247
goods-s-mediumhst_9298,53.1666442,-27.8071419,3.701611780434316,4.22,A,GS,-18.364675553364254,0.41006220469275867,8.245870221345701,9.745870221345701,1.6854802680202698,0.6541295343220206,1.1025224228290535,2081587.2349839832,0.7429586283612695,0.7429586283612695,8.374905590592741
goods-s-mediumhst_9319,53.169015,-27.800791,6.241910792391339,6.24,A,GS,-18.825986379821703,0.20328367146600357,8.43039455192868,9.93039455192868,0.8831063718975448,0.5938168182816217,0.5244034159644266,2583436.6619423553,0.6943153160691553,0.6943153160691553,8.58883780635965
goods-s-mediumhst_9325,53.1581266,-27.7988045,4.772728,4.59,B,GS,-17.680857822275016,0.24584169178902293,7.972343128910006,9.472343128910005,1.240364658401478,0.6215419810651379,0.7709387070260377,2306544.195284365,0.7168517130241011,0.7168517130241011,8.116913801520843
goods-s-mediumhst_9335,53.2015494,-27.795479,3.7247233516869036,4.11,A,GS,-18.793921831918283,0.31502131730356275,8.417568732767313,9.917568732767313,1.6731992982771868,0.6561741542755556,1.097910134481486,2086697.1608057192,0.7445834590500259,0.7445834590500259,8.545655348646276
goods-s-deephst_9343,53.12873556587608,-27.79787167758234,5.4410252774533685,5.4571,A,GS,-17.76654244190939,0.08980998857816758,8.006616976763755,9.506616976763755,1.0527187125676443,0.6054684206151724,0.6373879362503692,2436400.807687648,0.703823960568696,0.703823960568696,8.159152929147163
goods-s-mediumhst_9364,53.1657379,-27.7849241,5.465817234296013,5.3,A,GS,-18.353236018617316,0.1919194722635229,8.241294407446926,9.741294407446926,1.0466766756864823,0.6078257600349173,0.6361970459099567,2441085.2429047218,0.7057410370067189,0.7057410370067189,8.392649036183395
goods-s-mediumhst_9365,53.162801,-27.760838,5.914928911827394,5.916,A,GS,-19.5073220598674,0.14823196194610766,8.702928823946959,10.202928823946959,0.9464580183070088,0.607886541827515,0.5753390917335705,2524440.2320395955,0.7057904375016086,0.7057904375016086,8.854253053981408
goods-s-deepjwst_9366,53.0803562,-27.89598,6.473175938772345,6.60579,A,GS,-18.244542245149567,0.07261149956118551,8.197816898059827,9.697816898059827,0.8424334568504648,0.5848733179324875,0.4927168510454664,2624362.5788317802,0.686978691472397,0.686978691472397,8.360873631625424
goods-n-mediumjwst_9377,189.24109041695823,62.25335709242332,2.5753690328621497,1.64403,A,GN,,,,,2.531510915140172,,,,,,
goods-n-mediumjwst_9389,189.24362707351133,62.253415500675345,2.5971699549207763,2.67056,A,GN,,,,,2.5088653452561847,,,,,,
goods-s-deephst_9422,53.12175498847799,-27.797634364680725,5.9338302218003145,5.9718,A,GS,-19.70541208579649,0.08012699304475035,8.782164834318595,10.282164834318595,0.9425925884172098,0.6101293067435158,0.5751033625125684,2527888.037950093,0.7076122136273159,0.7076122136273159,8.932369513945847
goods-s-mediumhst_9442,53.138063,-27.781861,7.13339500023183,7.24,A,GS,-18.96573044212784,0.16002275085039663,8.486292176851135,9.986292176851135,0.7419342926468302,0.5768467392606145,0.4279823774589545,2737834.332499623,0.6803655409654933,0.6803655409654933,8.653549867424292
goods-s-mediumhst_9447,53.149881,-27.7928186,3.5587316366701165,3.87,A,GS,-18.05633165611374,0.31383510629815525,8.122532662445495,9.622532662445495,1.7648336402182465,0.6568566367409039,1.1592426893209637,2049713.9010981943,0.7451254799973767,0.7451254799973767,8.250303247842627
goods-s-deephst_9452,53.11583377405873,-27.797548779903753,5.1200061940365424,5.1592,A,GS,-17.92023258245785,0.35513885162544767,8.068093032983139,9.568093032983139,1.1365016277016078,0.6138451650558097,0.6976360292426897,2374910.042175088,0.7106261545595,0.7106261545595,8.216451845349342
goods-s-mediumhst_9457,53.17324,-27.795674,5.999582380968898,6.03,A,GS,-19.63303145741365,0.09899866849554861,8.75321258296546,10.25321258296546,0.9293480813778091,0.6076931666782165,0.5647584785188057,2539845.4918165663,0.7056332664102254,0.7056332664102254,8.904633535958146
goods-s-deepjwst_9513,53.112618,-27.8956584,1.7908216733906264,1.83921,A,GS,,,,,3.6410336030467074,,,,,,
goods-s-mediumjwst_9542,53.0685905,-27.8957335,2.6942188948230408,2.25098,A,GS,,,,,2.4119861033947676,,,,,,
goods-s-mediumhst_9547,53.2080001,-27.7900501,6.172912,5.82,B,GS,-19.203992696539224,0.17789480150216264,8.581597078615689,10.081597078615689,0.8958769769523441,0.5988182498962621,0.5364674834609566,2571100.0951343765,0.698403680465987,0.698403680465987,8.737490559255722
goods-s-mediumhst_9569,53.127392,-27.7852371,4.756141092802089,4.76078,A,GS,-19.0768746357969,0.1287472138157426,8.53074985431876,10.03074985431876,1.245717016735649,0.6304721104313373,0.7853898365415543,2303228.089253517,0.7240459288111666,0.7240459288111666,8.67098373840256
goods-s-deepjwst_9597,53.0628965,-27.8956809,4.80785154704176,3.72942,A,GS,-17.007828377476077,0.06924153599707239,7.7031313509904304,9.20313135099043,1.2291559587108263,0.6185354702358422,0.7602765589143884,2313550.5150641697,0.7144226692914749,0.7144226692914749,7.84917612432607
goods-s-mediumhst_9597,53.166129,-27.772036,6.303292148863186,6.30968,A,GS,-18.149693559789966,0.11296177952679365,8.159877423915987,9.659877423915987,0.8719978208165183,0.5879399344381304,0.5126823416010564,2594361.9725073664,0.6894980967871658,0.6894980967871658,8.321344352180002
