object_id,z,log_Mstar_obs,log_Mdyn,sigma_kms,re_kpc,source_survey,source_paper,is_upper_limit_mdyn,sigma_type,ml_response_sigma_only,gamma_t_sigma_only
1086992,4.04,9.37,9.84,28.0,3.42,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6354386771146542,0.6354386771146542
1090054,4.82,9.62,10.6,68.0,1.27,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6171695867768787,0.6171695867768787
1014130,4.38,8.49,9.78,61.0,1.32,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6280188974008544,0.6280188974008544
1000110,4.06,9.52,10.8,133.0,1.66,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6670237978027904,0.6670237978027904
1091153,4.07,10.37,10.3,98.0,1.85,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6458883219077463,0.6458883219077463
1079264,4.05,8.73,9.24,32.0,2.24,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6352510044361671,0.6352510044361671
1086406,4.41,9.46,9.48,27.0,0.91,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6251028474122975,0.6251028474122975
1028072,4.4,9.17,9.76,39.0,1.66,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.62573079172431,0.62573079172431
1090742,4.62,9.37,9.61,37.0,1.34,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6197436660409121,0.6197436660409121
1091236,4.17,9.34,10.0,84.0,0.84,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6383264419796996,0.6383264419796996
1009935,4.89,9.65,8.99,29.0,1.02,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6125047832833398,0.6125047832833398
1085494,4.06,8.9,9.85,53.0,1.06,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6361622508148982,0.6361622508148982
1008197,4.4,8.76,9.77,44.0,1.11,danhaive_2025_gold,Danhaive et al. 2025,True,emission,0.6259803604486839,0.6259803604486839
1029814,4.16,8.38,10.2,48.0,1.28,danhaive_2025_gold,Danhaive et al. 2025,False,emission,0.6329024749322121,0.6329024749322121
