id,ra,dec,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,mwa,mwa_16,mwa_84,met,met_16,met_84,dust,dust_16,dust_84,sfr100,ssfr100,sfr10,ssfr10,chi2,use_phot,log_Mh,log_Mh_simple,t_cosmic,age_ratio,log_ssfr,alpha_z,gamma_t,t_eff,n_ml,ml_bias,log_Mstar_true
16147,3.5662644712721328,-30.417299065486965,,6.627322672883903,6.53392294350199,6.698841764419275,8.026037246891002,7.798459522409638,8.401642471406094,0.1298755070994566,0.0527628247175989,0.2937809399217731,-0.5633514029538861,-1.4573168308418332,-0.1767860951280692,0.1063942189592625,0.0505238659249085,0.2372987135267947,0.7399303960369974,8.076140069560869e-09,1.248481908053818,1.1389405780199591e-08,27.660433149578488,1,9.547274837935907,10.026037246891002,0.8170209601711247,0.1589622707748578,-8.092796157421581,2651290.360433916,0.8997145103935223,0.7350856131616089,0.5,0.9485328198821179,8.048984884521243
16156,3.6091633806385817,-30.417337466168977,,5.1392406871176775,5.0399038469833775,5.2785109808685755,8.187135321535722,8.030137500443576,8.293149713361553,0.2133549075418778,0.135668950809231,0.2951554339571666,-1.3492662250564402,-1.6395582462173997,-1.0268558925012603,0.05048039952495,0.0112856078217715,0.1660573956002093,0.76840590676146,5.487466942637903e-09,0.1434127023133066,8.978383118204822e-10,26.890277321168856,1,9.798886819333411,10.187135321535722,1.1311736139704884,0.1886137591142964,-8.26062808300006,2378639.15238265,0.9145333995794959,1.034496050699055,0.9,0.9227405662608761,8.222055707702477
16162,3.6166796850301095,-30.41733652655499,,6.778958547482901,6.645733504041978,6.822708496743092,8.781862804289787,8.632570800309628,8.966729303715855,0.1005030919036262,0.0522129714367104,0.1600403685890007,-1.2165905819292009,-1.6378877515536647,-0.4681521798626793,0.1544159821731831,0.082364835499658,0.2790326191403404,5.10936893455785,8.747840398010686e-09,8.74500945447305,1.4844593492351373e-08,23.186324475892626,1,10.37110115734462,10.781862804289789,0.7932415921480628,0.1266992211432943,-8.05809914914784,2677515.3029180323,0.9291057374116081,0.7370053144182839,0.5,0.9639013110332447,8.79783023332028
16362,3.61582692988648,-30.416821648652903,,6.642415373832338,6.490243497205149,6.743549995552925,8.3875182673781,8.1610732362636,8.553532112509165,0.1256240088905124,0.0781059518672852,0.1948210678240252,-0.92660395889558,-1.2629912120261353,-0.4583235476315674,0.1562722119484236,0.0790144527767589,0.302871870720674,1.6510686079378116,7.678820786361743e-09,1.4614042577382598,6.2719911933241615e-09,24.248992167174784,1,9.944149325424291,10.3875182673781,0.8146013461279218,0.1542153219947968,-8.114705468158188,2653912.2081417623,0.9094429072252449,0.7408334164521752,0.5,0.9536471607598089,8.408130547264554
16388,3.661010706423903,-30.416683078727008,,4.352049506034051,1.5263764158350142,4.919715697415663,8.186681297124629,7.867071295797347,8.485153677617298,0.2963695263430031,0.1260293158798923,0.7634819978344876,-0.6083181206559968,-1.2551564968877822,-0.1420339331255296,0.1874428649097998,0.0620849208743573,0.6381143325490907,0.8379468740124343,4.855857704606909e-09,1.2239327785701866,6.404397319762197e-09,35.024861513767625,1,9.83774695153539,10.186681297124627,1.388988179526036,0.2133708052462571,-8.313734048252707,2220911.71025797,0.9208690520860624,1.2790762282388861,0.9,0.9284918371343029,8.218903207145882
16389,3.646653547712551,-30.416671899926097,,6.025326637009988,1.988458378657076,14.636111053569552,8.382821217109166,7.762287378458429,8.92754977048733,0.1205923331785554,0.0370267934179645,0.8168052410162264,-0.7475068492064576,-1.437734944038468,-0.1913992198442672,0.5142972512748427,0.1599938439252141,1.2356359874093674,1.3311158870424182,6.7361180100172485e-09,1.5173423613825356,7.670693188790175e-09,0.614377880986645,1,9.969837006969584,10.382821217109166,0.9242464066163778,0.1304763884557996,-8.171590313038935,2544511.943117659,0.9138468729442357,0.8446196885163234,0.5,0.9559533842945668,8.402384502068672
16410,3.6159909522055766,-30.41662234352552,,4.354762458989181,4.257309943910859,4.411109061210211,8.396801928876869,8.099764734920994,8.52092833828822,0.1907403918101619,0.1079831538498013,0.2726820700769806,-1.3927383042039532,-1.7282393414635626,-0.9856719418306316,0.0774788276971263,0.029371809502472,0.1601179040495413,1.2043230373700786,5.401432960678707e-09,0.5832058975956562,2.305679698680359e-09,25.11969741862045,1,10.068743998815096,10.396801928876869,1.387936351299875,0.1374273334879684,-8.267491009740207,2221474.5288218884,0.9275055074720155,1.2873186098512481,0.9,0.9345119244809772,8.4262170814785
16411,3.6509717994839974,-30.41662429896725,,6.560756209279062,6.2987404908620395,6.763267737356395,9.042828338034186,8.879574380675532,9.21121014443412,0.1312342078821898,0.0662831335145778,0.2613645783033516,-0.3276061461193451,-1.5776934165236896,0.0731600334449801,0.0367863224006167,0.0106848947969801,0.0962974940880166,8.801842747759293,8.219477953701886e-09,16.82767271947333,1.5625124136795373e-08,177.9641777098039,1,10.669073361373652,11.042828338034186,0.8278366147199617,0.1585267014634081,-8.085155765066562,2639695.6117082103,0.9549938618168196,0.7905788856447789,0.5,0.9772378737118305,9.052828047942654
16439,3.616614439508724,-30.416499810597212,,9.59177000960566,9.478232574087878,9.723609174059828,10.82601835642862,10.623370425294215,11.028471767330617,0.3460129764154668,0.259506771348011,0.3734206440679166,-0.1738650019572625,-0.3864289900518731,0.0209118839647847,2.097799236742624,1.8512647869997056,2.3733525012139007,5.580043329609473,7.485815754027364e-11,1.257485375512977,1.747238079030858e-11,200.32556147490004,1,12.4790316915912,12.82601835642862,0.4989878797253776,0.6934296211881903,-10.12576086624029,3124319.9645446967,3.4294488489871533,1.7112534097827363,0.5,1.8518771149801363,10.558406191607906
16444,3.648486103155295,-30.416458010882987,,4.7084720858394125,1.4188357156285012,15.856158699535715,8.026916147828643,7.345846453002635,8.67677033169424,0.1843071696447653,0.0397030614489651,1.2222854882794878,-0.7543418346812261,-1.4268113353890877,-0.1449985892464106,0.5807474738002583,0.159869543082212,1.2699634539159232,0.4455046059831725,6.619220877887879e-09,0.5658531847815301,7.362570058013284e-09,0.7834708045086878,1,9.644184158319536,10.026916147828643,1.2613144619862298,0.1461230923766079,-8.179193126624838,2293671.2655281713,0.9142701040231749,1.153182104366085,0.9,0.9225014702478779,8.061949080834909
