id_msa,ra,dec,z_spec,flag_zspec_qual,flag_emission_lines,log_Mstar,log_Mstar_16,log_Mstar_84,dust2,dust2_16,dust2_84,mwa,met,sfr100,ssfr100,logfagn,UV,VJ,chi2,gamma_t,t_eff,log_Mh,ml_bias,log_Mstar_true,response_z
8936,3.604124454272525,-30.40954777649949,6.645962,2,0,8.028355984975523,7.771562368550064,8.199608025561377,0.08073638363816324,0.025579292329869607,0.18244595549093234,0.15905653876002193,-1.15677946757552,0.5631074842350676,6.059605519633083e-09,-2.1665745280293818,0.19950276194050787,-0.22271299722522286,35.213753043123525,0.5875794549276363,0.4783099419264708,10.028355984975523,0.6892021465536817,8.19000936356609,2654527.939050557
8943,3.614087403729256,-30.41044795973289,6.325826,3,1,8.832788558634045,8.72915541270414,8.915175959634292,0.2082128020689452,0.11991776321797132,0.39141519137804803,0.05694849026009054,-1.731162609280981,7.077564217823126,1.1280503870263872e-08,-2.7215716639145597,0.2977552155229084,-0.7468170021812028,57.59878719797237,0.6339143109569332,0.5502235997727211,10.832788558634045,0.7268108290598351,8.971367169213934,2598361.2607949646
9457,3.57822017674908,-30.40850853208303,2.850896,3,1,8.277885069259648,8.12344860485041,8.408101319214602,0.2344436078015437,0.14678807338248254,0.28287344538996395,0.4785931363001072,-1.261500458034669,0.6530581169740469,3.377208709488443e-09,-4.11766243534131,0.4581674301305547,-0.3994598856473388,59.76055007720747,0.6918433389467297,1.5691332915207112,10.277885069259648,0.7726902544467561,8.389879634517774,1883875.1958662232
10137,3.61857835646692,-30.40716794511019,4.503619,3,1,8.143016844467722,7.807970769136213,8.358731127862288,0.26633862223556143,0.15295068293277317,0.40608134556828707,0.1686783057498057,-1.1827848850199443,0.7851832066188302,6.966342137792618e-09,-2.207057766047966,0.4611320282946352,-0.5039441193270591,29.74147294998109,0.6397258855329927,0.8522338343854721,10.143016844467722,0.7314686996090978,8.278821097571518,2252140.1533652386
10646,3.636959983509949,-30.40636155877451,8.51059,3,1,9.61964852134041,9.43959438359435,9.768443388641222,0.7187847280298342,0.531310966242044,0.9061007668645296,0.03737388393519029,-1.7772772489932507,42.4807703623179,1.0581030419443627e-08,-3.0367782809689623,0.6060840359084523,-0.28534684295531676,11.303146276246244,0.7590826328240307,0.44528892280452625,11.61964852134041,0.8245221720755065,9.70344618266906,2960567.4699286963
11045,3.612434169529675,-30.40554575330742,6.331689,3,1,8.530848029976607,8.376811582357753,8.73802453869439,0.5944203943818586,0.48215581308589256,0.752402775804614,0.08709472424304648,-1.2409304068625282,3.0222212423015113,9.290254628880496e-09,-2.2474362300470365,0.6230278024709435,-0.24963263039202133,49.91418401960819,0.6127155738173451,0.5311857972692201,10.530848029976607,0.7097105210882234,8.679766786510873,2599400.812187301
11254,3.5804459401238,-30.40502288450324,6.87195,3,1,8.218157103606417,8.01155534147053,8.331328986669249,0.02583317458755474,0.007073157627824252,0.05954472860734064,0.13957804673361787,-1.4167251475789713,1.047029701201243,7.276817004662129e-09,-1.6901400437266936,0.15687667710970032,-0.6492843710126657,54.79675576916885,0.5884599123433348,0.4585408267434256,10.218157103606417,0.6899248978050618,8.37935528568658,2693471.5740100173
11432,3.607424724685428,-30.40646592839755,3.204713,3,1,9.283944279212895,9.139012641837592,9.460281489582973,0.1396528434377843,0.08742003043096869,0.31323544729534447,0.35534629483412694,-0.8298413895032174,6.2441436927090335,3.2636120845723238e-09,-1.8226673672566847,0.48576333538554195,0.08198786445791484,54.37618423700352,0.7585421479557363,1.5098960341613539,11.283944279212895,0.824111172608006,9.367958477232463,1968518.0976562037
12065,3.570058411157738,-30.40368850435579,5.544374,3,1,9.21723377091865,9.036612204772451,9.297764371120183,0.5544245648651752,0.3900582289106968,0.7096345325325643,0.20279797530625887,-1.4872660217767404,6.4858436736492,4.357199383336181e-09,-1.44420505888229,0.44497263064351955,0.00010128521092411802,56.71183015203531,0.6966024734004621,0.7160425659799042,11.21723377091865,0.7764071183942791,9.327144262407911,2455869.5157520073
12697,3.567413350746695,-30.40256286847841,2.549042,2,0,9.153452268970415,9.093714779056864,9.222371396410214,0.38810155393889767,0.2562702948395631,0.6540948882413175,0.8753750711439156,-0.7507456221289857,0.04735600360979955,3.000184362977863e-11,-1.027633317262977,1.242121034355229,0.5503564859570815,39.59138032366002,0.7581139135574271,1.9402480765500394,11.153452268970415,0.8237854690829871,9.237638141889873,1808534.5192171477
