id,ra,dec,use_phot,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,dust2,dust2_16,dust2_84,mwa,mwa_16,mwa_84,met,met_16,met_84,sfr100,ssfr100,sfr10,logfagn,UV,VJ,chi2,nbands,gamma_t,t_eff,log_Mh,ml_bias,log_Mstar_true,response_z
50534,3.594261510159537,-30.35777287689944,1,,6.722347267025716,4.809332789784559,6.874988232115344,8.026430359248245,7.739767857294249,8.43721342653227,0.7165745732981196,0.4520659740010327,1.163202415367333,0.11584422323979278,0.040320912922529296,0.2659502754748164,-0.9985634078750216,-1.537771128889842,-0.3493534101302222,0.7525465162147208,8.128711975183184e-09,1.457242722992819,-2.0924783579954447,1.052187232556335,0.3608818598258736,17.795655692957528,24,0.5859776104234493,0.4699441726540493,10.026430359248245,0.6878863880573025,8.188913643562405,2667754.719101983
50542,3.5389633975967207,-30.357871957149207,1,,4.535177630904118,4.407910240464635,4.574222671599158,8.035934408707968,7.8434714227683315,8.195295133532515,0.06725179696159062,0.019140125646933043,0.2563199227716055,0.22925742477868716,0.1569080248017429,0.30900992685716083,-1.313410619095747,-1.6769874378709717,-0.9106801510715781,0.49623568882254127,4.729088152893158e-09,0.18797014623967415,-1.5001655261336895,0.2809491288844619,-0.39604725211554737,21.200464262245266,21,0.6362516931018511,0.8403884771703775,10.035934408707968,0.72868573165876,8.173394142987943,2258587.989129765
50579,3.616275712435721,-30.357657214640007,1,,7.9278769232464805,1.503098954202571,15.598837492873859,8.073500068915482,7.557233211152878,8.505952239372057,0.5628804700108023,0.17778219561577763,1.306615002055094,0.27386802670944305,0.05127600408179613,1.1551055763327496,-0.6824389335199774,-1.4208082018554804,-0.13930069843730203,0.4184181543664737,4.609443905477235e-09,0.4344558767120223,-2.066430119910452,0.8187302404104635,0.49387644343635273,14.62460251687926,23,0.5641176617244791,0.3638863814133768,10.073500068915482,0.6698210442460905,8.247541280957407,2868437.09578299
50667,3.5164442447247946,-30.357597313758962,1,,4.177881816431781,4.061413820558546,4.552261601415951,8.497800238586308,8.249568473484587,8.70728822285596,0.2537379517170401,0.14795878841306107,0.36366549097775547,0.21802158525939014,0.10383654305941495,0.3817063807044888,-0.3612275302571337,-0.6561568679138338,-0.08905433101180264,1.5253171389200628,5.424358616508387e-09,2.239127248864329,-1.5094124049394215,0.43686849878972467,0.2274066778449111,2.217364996289204,12,0.660969614187952,0.9646112674073337,10.497800238586308,0.7483883982661371,8.623673192265086,2184476.111570811
50689,3.5393449115119577,-30.357481175762153,1,,18.852070250388227,17.337603802259466,19.36973726905135,8.261893920131048,7.906888210935544,8.676995505023042,0.22632344528879528,0.08656374845202172,0.48758101094614,0.0419152942183563,0.021999462006949518,0.07474786643251996,-0.8360912922988726,-1.5084261126673344,-0.2090999184757604,1.8186024924819626,1.0712422562714277e-08,3.0699694036020677,-2.526453728384303,0.2967476048155646,-0.1068084695821625,27.47213884509445,21,0.4325764701087103,0.0838592886983352,10.261893920131048,0.5562167007479671,8.516649895448653,4277343.561459354
50792,3.5001486357108704,-30.357548935172435,1,,4.106146085092194,3.7563186482228836,4.206242334160087,8.182668599233763,7.880271758872975,8.32735973711014,0.12630651178438454,0.05290137425256832,0.273429739517608,0.3023550407272009,0.19099374964475754,0.5133491133947777,-0.6633540538535676,-0.9469511328564716,-0.20337192250881794,0.5298454149105472,3.634348608999466e-09,0.3859732704140656,-2.700284217790773,0.43557606600327503,0.02255916344284259,7.0089061523569285,12,0.6514039188140792,0.9706717712144276,10.182668599233763,0.7407902485660173,8.312973342382026,2169291.1819350035
50830,3.552455880372335,-30.358748614432443,1,,4.072943528230843,4.013396939409005,4.101779624899943,8.224985255314962,8.031742015068954,8.439392620366775,0.1229274243031124,0.11031311860066828,0.14548583197180803,0.14111558925106446,0.04751432064334729,0.26361003105789205,-0.6854727205545644,-0.9007496769756032,-0.5888177381610872,1.3753167461599938,8.40771861559908e-09,3.1378839686440405,-1.327269017384682,0.3292715064979106,-0.27974788550523755,112.8958198725896,23,0.6535393428821382,0.9833892456020692,10.224985255314962,0.7424893282962175,8.35429503933968,2162226.804851319
50831,3.552600201195073,-30.358709453475463,1,,4.096848722505662,4.079717359122384,4.123175750809457,8.083333566883972,7.920527350336469,8.257485235727092,0.12293057563147677,0.10420861326139319,0.15769256481487104,0.17218651389637374,0.06799838030751039,0.2960223971268035,-1.078132418774657,-1.2921549943178934,-0.9291918442506845,0.8736919137479924,7.407108932045286e-09,1.7053887828423846,-2.8311180974649934,0.39219438956099495,-0.6712704841164552,33.34188528932203,22,0.6490798166815263,0.9698450661247418,10.083333566883972,0.7389391443901145,8.214724893501097,2167315.339922001
50886,3.589570420870212,-30.357283311747985,1,,5.352311566979835,5.062671326988087,5.392791894741664,8.935713496541561,8.8561270799,8.991021378699902,0.06497683062507084,0.017889163810130504,0.15693828198755283,0.29364257647704856,0.22457671639710539,0.35085441684869767,-1.7194350273842378,-1.885498108122238,-1.387306530817757,0.6380195376742115,7.748944516396586e-10,0.060375001385871145,-2.220984265872911,0.39508925328060585,-0.28183165708897207,24.340209589788973,24,0.6636879224746403,0.7133457120311222,10.935713496541561,0.7505415507255,9.060338756322974,2419564.080599771
50949,3.5592649810598513,-30.35748209972129,1,,5.62120966721042,5.591226634198996,5.640758475007636,9.2546787408273,9.173302499269685,9.320348279212288,0.21944180960877213,0.15950002048973896,0.29829004122134567,0.17059954505444114,0.10903641800085681,0.227330852914908,-1.644640355404925,-1.8732521959124528,-1.3986135313953931,11.533366805741524,6.490918239912171e-09,4.114411267812593,-1.7795904691706266,0.29220226880839206,-0.44158981131699804,195.09870292645573,26,0.701591337382283,0.708665654901325,11.2546787408273,0.7802952311303987,9.36241978814742,2470244.2853493504
