id,ra,dec,use_phot,z_spec,z_phot,z_16,z_84,log_Mstar,log_Mstar_16,log_Mstar_84,dust2,dust2_16,dust2_84,mwa,mwa_16,mwa_84,met,met_16,met_84,sfr100,ssfr100,sfr10,logfagn,UV,VJ,chi2,nbands,gamma_t,t_eff,log_Mh,ml_bias,log_Mstar_true,alpha_z,sigma_dust2,posterior_broad
5190,3.633780181727938,-30.447734250618776,1,,10.943197296606629,9.680566638618435,11.312949797608796,8.295355186361348,8.035242408777714,8.654691213078424,0.0915249344080953,0.0246463707342206,0.282832294199359,0.0684555253288697,0.0312352555091528,0.1320898184191964,-1.0384617278764996,-1.6307781036911104,-0.301517135828118,1.7927334321111332,9.344347588927517e-09,3.535994263976297,-2.421225684751984,0.1445760874801962,-0.3263758436061934,28.054776009878378,6,0.907190012350765,0.3779078176415884,10.295355186361348,120651829350.68904,-120651829342.39368,3317657.4007200724,0.1290929617325692,False
5234,3.6314512493697,-30.447599891247755,1,,10.098154315130602,0.4929859203286332,10.890899226465107,8.227736136322262,7.0847938418787395,8.681808199855032,0.2181899452998765,0.0427629103204796,1.1506606415161111,0.1878832221211772,0.0473501827345275,2.646532530998797,-0.8633894751001043,-1.6121832253531334,-0.1525767311977832,1.2447736914694505,5.491371633918634e-09,1.1183758475268053,-2.2213716134334063,0.4222673209334218,0.0808475772920545,9.500225886365875,6,0.9059756830749282,0.421424872003549,10.227736136322262,15736544305.398829,-15736544297.171091,3198133.6771348948,0.5539488655978158,True
5301,3.634647278434446,-30.4473374021496,1,,9.97024267648093,9.539482600091675,11.02609634866398,8.348259515958203,8.052092410315227,8.641177033390788,0.1448832416563116,0.0449215856746014,0.3944351808018623,0.0699786990471339,0.0306827140359565,0.1500996367921008,-1.1071220383876763,-1.641327095569349,-0.4174259606151157,1.933061154453614,9.398173177537038e-09,3.757185001406,-2.1047951471627835,0.2083206142646183,-0.317211468020151,13.132546025470454,6,0.9146486772658972,0.4329382328822634,10.348259515958205,13136309744.2347,-13136309735.88644,3179650.2403007825,0.17475679756363044,False
5402,3.629523903468023,-30.446873258532225,1,,11.703779429175912,0.5905856171837552,10.631688725574705,8.218803034741203,7.402395370052374,8.80366873466514,0.5535495517093918,0.1212263387764218,1.2784959740826374,0.5728049409507279,0.0697035188292359,2.524138061323062,-0.8030921894831327,-1.460334646993486,-0.1574978305286488,0.3264248666401736,3.1971500109478742e-09,0.3180066095014472,-2.1475176233140827,0.833786081576946,0.4262650148262246,4.323592006172554,6,0.8991635417393307,0.3413524129867032,10.218803034741205,651321308967.0273,-651321308958.8086,3421666.716956595,0.5786348176531078,True
5439,3.634224248912973,-30.446789180084465,1,,11.900030406523468,0.574296285786708,11.41118645611515,8.244700897289988,7.402892886793429,8.690102765003251,0.3776227100504721,0.0557997974807263,1.3963891828226058,0.4187345567143931,0.0495696660349038,2.8861200045593476,-0.6747670643938836,-1.523654560388568,-0.0493040950861647,0.5749560522366214,4.026040351809576e-09,0.7725546375611222,-2.451030610867671,0.6565505498204338,0.2340480563035711,6.839067132130023,6,0.9001477440421201,0.3339364303745998,10.244700897289988,1059185916119.2648,-1059185916111.02,3447994.7828632263,0.6702946926709398,True
5595,3.6337700539866775,-30.447523183140557,1,,9.421249054419178,1.1276544753445603,9.75696047160921,8.254041525040494,7.487447110689554,8.660551707284808,0.3521321041256275,0.0967810356844606,0.893373171735006,0.6258731071381987,0.0885888999222793,1.4406213875030631,-1.1211100688505364,-1.7505703315497017,-0.2697947339106663,0.236754539693042,2.2501676846382593e-09,0.2706118106915971,-2.648925618386768,0.7938243029526966,0.2095673785760183,34.16499709212859,6,0.9103609627667189,0.465475939590351,10.254041525040494,3341136660.409801,-3341136652.1557593,3099068.1064721234,0.3982960680252727,False
5823,3.646139500615986,-30.445486951667988,1,,9.975524455376648,1.3474674091681844,9.814321453361606,8.32201659735278,7.804835710941493,8.752334657969287,0.3301786288099006,0.1089196325296478,0.8742720706334481,0.1631764050275505,0.0512185941744706,1.3676960921970895,-0.8562049079629672,-1.511714529630586,-0.1636931312336762,1.3088206863662455,6.755746182003355e-09,1.8202623155445803,-1.8871775773133344,0.4550724252166276,0.1926648574355027,10.63762937374972,7,0.9127155302795094,0.4317107204195149,10.32201659735278,12966808321.754145,-12966808313.432129,3180415.592037481,0.3826762190519002,False
5834,3.569821739130937,-30.44546237173475,1,,11.548896686963666,1.627388864148012,11.295579127195058,8.178899195977873,7.533320178597711,8.642473000027044,0.471530698915662,0.1707158012945451,1.0637778228130967,0.3625905409892756,0.0495811625242981,1.25135038100815,-0.6944137227592929,-1.463254326037683,-0.0869574235010856,0.3336488003299979,4.045684929090585e-09,0.4025178755384898,-2.106702606735161,0.7767082956525151,0.4346075039308168,23.321450221642053,6,0.8972659375475269,0.3469750174111303,10.178899195977872,434342759375.45526,-434342759367.2764,3400744.5047674067,0.4465310107592758,False
6014,3.630002018707571,-30.444985251624352,1,,9.945153118139428,9.535009277560484,10.436912016978235,8.297035775865087,8.084043570787326,8.538198551138331,0.0286653933456362,0.0069640915865804,0.0903018748080955,0.0638435595189304,0.0306473255422441,0.1078966135388708,-1.284401514881122,-1.7165160390356613,-0.6178460115405072,1.9296566763935927,9.635265761993622e-09,4.046564852819416,-2.0988447546083138,0.0263882500211813,-0.5547377211123496,21.297375873010633,6,0.91108541291565,0.432738437244264,10.297035775865089,11791745816.098434,-11791745807.8014,3176012.140039345,0.04166889161075755,False
6440,3.595777094804887,-30.444105634012175,1,,11.831907473206655,11.873388355481344,12.339355131595754,8.883309367400312,8.67519061322237,9.277775611436429,0.1440879752011457,0.0550908000634486,0.2800737156518759,0.0584658711278363,0.0318405015989609,0.1043040438534926,-1.195031595140165,-1.7253569722233162,-0.5644638025405367,6.488723506742568,9.778610936830597e-09,12.050142637069872,-1.6020108344595605,0.2059733647006751,-0.3196620302636361,182.36643820526703,9,0.9768242479351104,0.3652795087589616,10.883309367400312,1848672251799.998,-1848672251791.1147,3438878.585717625,0.11249145779421364,False
7306,3.631354790430795,-30.44051320930224,1,,11.932808963567965,1.95228482262431,13.898111143980609,8.314189793260514,7.753703856489944,8.839978868983277,0.4064018708553721,0.1169308130776642,1.074022031267342,0.0978581685081405,0.0352415862816612,0.8264274400937213,-0.7444959679040416,-1.411909343431538,-0.1567943016271234,1.7804456189840765,8.06759378804464e-09,3.1634572156654666,-2.092129127636332,0.501468538678715,0.2363896462733983,3.5560972146003085,6,0.9050173041242604,0.3344637572782977,10.314189793260514,1239160805019.437,-1239160805011.1228,3452372.624851529,0.47854560909483895,False
7845,3.5767648969629784,-30.438677440438877,1,,10.94996195337179,1.831322112753671,11.640480886697812,8.130514440979152,7.6274671378411485,8.512277239874246,0.2474077033380104,0.0543178118603255,0.9513519433728596,0.0981095542667302,0.0415615188192368,0.9165057557732272,-1.0217609578970763,-1.6101097703108065,-0.3116025237114749,1.069428094579551,8.249940510102858e-09,1.663882842184275,-2.6828449803076344,0.3989291236537795,0.0025998631699764,8.5950474937032,11,0.8968745573602778,0.3732927292444635,10.130514440979152,102713295558.98016,-102713295550.84966,3318596.8324319604,0.44851706575626704,False
7856,3.576564694212199,-30.438667575823896,1,,9.922001310702564,1.6220126712363048,10.654847182587677,8.306147626901,7.9131041350681395,8.644078278789234,0.1079677153800236,0.0268990261265304,0.7254564155060617,0.0853927265364226,0.0382638461272569,1.013720359033483,-0.7949349377275419,-1.556305239701221,-0.1605406610369591,1.7909414123361038,8.58239532187494e-09,3.5970039506470473,-2.571354594869668,0.3052446689931862,-0.0853255020708019,3.446330975248794,12,0.9118031556913044,0.434460006855752,10.306147626901,11270505689.772556,-11270505681.466408,3172651.3215201385,0.34927869468976563,False
7858,3.631310206972946,-30.43865108750191,1,,10.689267767319496,0.8145038172643867,11.11829455050922,8.081668845559351,7.276221138324809,8.5024559003764,0.3492953852006109,0.0640212207416364,1.0943832899109565,0.1689625496755896,0.0486506134626765,1.9079898106755144,-0.8185163848522454,-1.4799152419282315,-0.203224407067866,0.6471218289711754,5.935210745159081e-09,0.8137125947396447,-2.3327485052610903,0.5355471880169844,0.1922862430310843,2.426728163785309,6,0.8954075223429718,0.3852497765034411,10.081668845559353,53336785233.34601,-53336785225.26434,3282198.8322406136,0.51518103458466,True
